Name,URL
Taylor's Research Excellence Scholarship,https://university.taylors.edu.my/en/study/scholarships-and-financial-aid/postgraduate-scholarships.html#taylors-research-excellence-scholarship
Tennessee Tech Scholarships,https://www.tntech.edu/scholarships/how-to-apply.php
Knight-Hennessy Scholars Program,https://knight-hennessy.stanford.edu/admission/before-you-apply?gad_source=1
UMY International Scholarships,https://internationaladmissions.umy.ac.id/
Monash Graduate Research Scholarships,https://www.monash.edu/graduate-research/study/apply#tabs__2347545-02
UNIST International Admissions Scholarships,https://admg-intl.unist.ac.kr/admissions/guidelines/
UTM Scholarships and Financial Aid,https://admission.utm.my/scholarship-and-financial-aid/
Malaysia Technical Cooperation Programme Scholarship,https://mtcp.kln.gov.my/scholarship
Hainan University Belt and Road Scholarship,hd.hainanu.edu.cn/gjjyen/info/1016/1242.htm
Amgen Scholars Program - University of Tokyo,https://amgenscholars.com/university/the-university-of-tokyo/
Malaysia Ministry of Education Scholarship,https://biasiswa.mohe.gov.my/INTER/index.php
Tokyo Tech Scholarships,https://www.titech.ac.jp/english/students/tuition/scholarships
